pageid	primary_platform	platforms
17672739	nintendo game boy	game boy,virtual console
17682780	super nintendo entertainment system	super nintendo entertainment system
17686938	nec pc-88	nec pc-8801,fm-7,sharp x1,msx,nintendo entertainment system
17698265	nintendo ds	nintendo ds
17699272	microsoft windows	microsoft windows
17704354	playstation	playstation (console)
17705611	nintendo wii	wii,playstation vita,microsoft windows
17710908	nintendo 3ds	microsoft windows,nintendo 3ds
17713642	playstation 3	microsoft windows,playstation 3,xbox 360,linux
17718225	nintendo entertainment system	nintendo entertainment system
17720319	nintendo ds	playstation 3,playstation 2,playstation portable,nintendo ds,wii,microsoft windows,xbox 360,os x,ios
17720544	super nintendo entertainment system snes	super nes
17722409	playstation 3	arcade game,playstation 3,playstation network,xbox 360,xbox live arcade
17725747	microsoft windows	microsoft windows
17738579	nintendo wii	playstation 2,playstation 3,wii,xbox 360
17748901	ms-dos	dos,microsoft windows
17750246	nintendo wii	wii
17752519	nintendo ds	nintendo ds
17753232	linux game	microsoft windows,linux,mac os x
17754073	nintendo ds	nintendo ds
17763120	playstation 3	playstation 2,playstation 3,playstation portable,playstation vita,xbox 360,iphone,ipod touch
17775857	microsoft windows	microsoft windows
17781677	nintendo wii	wii
17788656	microsoft windows	microsoft windows
17794817	nintendo famicom	arcade game,family computer,wii,virtual console
17810004	microsoft windows	microsoft windows
17814523	zx spectrum	amiga,atari st,amstrad cpc,commodore 64,personal computer,zx spectrum
17817199	playstation	arcade game,playstation (console)
17817893	sega 32x	sega cd,32x,3do interactive multiplayer,microsoft windows,macintosh
17823054	nintendo ds	nintendo ds
17843326	microsoft windows	microsoft windows
17845576	nintendo 3ds	android (operating system),ios,nintendo 3ds,playstation 3,wii
17852300	turbografx	turbografx-16
17856211	dvd game	dvd player
17861164	playstation 2	microsoft windows,game boy color,playstation 2
17861546	game boy color	microsoft windows,game boy color
17861651	microsoft windows	microsoft windows,os x
17862463	playstation 2	playstation 2
17866870	super nintendo entertainment system	super nintendo entertainment system
17868662	microsoft windows	microsoft windows
17875588	pc game	personal computer,microsoft windows
17877421		
17881833	commodore amiga	amiga,atari st,personal computer
17883949	apple macintosh	microsoft windows,macos
17896463	super nintendo entertainment system	super nintendo entertainment system
17900314	nintendo wii	wii,wiiware
17900836	sega mega drive/genesis	sega 32x,sega genesis
17905944	playstation 3	playstation 3
17906360	ms-dos	personal computer,ms-dos
17909339	nintendo ds	microsoft windows,playstation 2,playstation 3,playstation portable,xbox 360,n-gage (service),wii,nintendo ds,zeebo,java me
17919149	nintendo game boy	game boy,game boy color
17920128		
17934441		
17935516	playstation 3	playstation 3,xbox 360,windows mobile,blackberry
17943990	microsoft windows	microsoft windows
17970500	nintendo wii	playstation 3,xbox 360,wii
17972019	pc game	personal computer,playstation portable
17974780	nintendo ds	microsoft windows,xbox 360,xbox live arcade,nintendo ds
17987485	xbox 360	xbox 360,xbox live arcade,microsoft windows,cloud computing,onlive
17987861	nintendo wii	wiiware
17991313	sega mega drive/genesis	mega drive,super nintendo entertainment system
17994388	microsoft windows	microsoft windows
17999932	pc game	personal computer
18003162	microsoft windows	microsoft windows
18011521	ms-dos	amiga,ms-dos,mac os,pc-98
18020065	ms-dos	ms-dos,amiga,amiga cd32
18023404	playstation	playstation (console),game boy color
18026461	microsoft windows	microsoft windows
18029866	microsoft windows	microsoft windows
18042497	playstation 2	playstation 2,playstation portable,personal computer
18043383	sega dreamcast	dreamcast,pc,playstation,playstation 2,playstation portable,playstation,playstation 2,playstation portable
18044685	playstation 2	pc,psp,playstation,playstation 2
18046240	atari 8-bit	atari 8-bit family
18048351	sega dreamcast	dreamcast,playstation,playstation 2,playstation portable
18086886	zx spectrum	commodore 64,ms-dos,zx spectrum
18087145	playstation 2	playstation 2,playstation portable,playstation network
18091223	microsoft windows	microsoft windows
18096604	playstation 3	playstation 3,xbox 360
18100735	nintendo wii	wii
18100864	nintendo ds	nintendo ds
18101339	microsoft windows	microsoft windows
18114138	nintendo ds	microsoft windows,wii,playstation 2,nintendo ds,xbox 360,playstation 3,psp
18114855		
18125735	zx spectrum	zx spectrum
18127928	microsoft windows	microsoft windows
18129958	nintendo ds	playstation 2,nintendo ds,wii
18131560	nintendo ds	nintendo ds
18134792	nintendo ds	microsoft windows,nintendo ds,wii
18136358	game boy advance	game boy color,game boy advance
18138079	nintendo wii	wii
18140807	playstation	cloud computing,onlive,microsoft windows,xbox 360,xbox live arcade,sony computer entertainment,playstation vita,sony computer entertainment,playstation
18147591	nintendo game boy	amiga,amstrad cpc,apple ii,apple iigs,atari 8-bit family,atari lynx,atari st,commodore 64,fm towns,game boy,macintosh,ms-dos,msx,nec pc-8801,nec pc-9801,nintendo entertainment system,master system,sharp x1,x68000,trs-80 color computer,turbografx-16
18148179	nintendo wii	xbox 360,playstation 3,playstation portable,playstation 2,wii
18153463	nintendo ds	nintendo ds
18157962	microsoft windows	microsoft windows
18164620	nintendo ds	nintendo ds
18165402	pc game	personal computer,windows 3.1,windows 95
18168847	microsoft windows	windows 98
18169786	xbox 360	xbox 360
18180859	linux game	microsoft windows,mac os x,linux
18185334	playstation 3	microsoft windows,playstation 3,xbox 360
18189098	microsoft windows	microsoft windows
18196457	commodore 64	amiga,atari st,commodore 64,dos,pc-98
18197946	super nintendo entertainment system	super nintendo entertainment system
18216663	ms-dos	ms-dos,amiga,atari st,nintendo entertainment system
18218227	nintendo game boy	nintendo entertainment system,game boy
18248185	ios game	microsoft windows,mac os x,ios
18248857	microsoft windows	windows
18252023	playstation 3	playstation 3
18254161	nintendo game boy	game boy
18271519	microsoft windows	microsoft windows
18271646		
18273063	nintendo wii	playstation 2,wii
18276712	mac os x	macintosh
18279768	microsoft windows	microsoft windows
18282633	nintendo ds	nintendo ds,playstation vita,ios
18282768	sony psp	playstation portable
18298754	playstation 4	microsoft windows,playstation 3,playstation 4,xbox one
18298795	microsoft windows	microsoft windows
18307957	nintendo entertainment system	nintendo entertainment system
18338283	playstation 2	playstation 2,xbox (console),microsoft windows
18339816	xbox 360	xbox 360,microsoft windows,mac os x
18339879	ios game	ipod,ipod classic,ipod nano,ios (apple)
18340085	microsoft windows	microsoft windows
18340621	microsoft windows	microsoft windows
18340837	microsoft windows	microsoft windows
18343166	nintendo ds	nintendo ds
18352158	nintendo game boy	game boy
18352552	microsoft windows	windows
18352875	nintendo ds	nintendo ds
18359592	nintendo wii	wii
18360694	playstation	playstation,microsoft windows
18364022	nintendo ds	nintendo ds,xbox live arcade,steam (software)
18366471	sony psp	playstation portable
18366937	zx spectrum	arcade game,amiga,atari st,commodore 64,personal computer,playstation 2,sega master system,xbox (console),zx spectrum
18369371	playstation 2	playstation 2
18369757	microsoft windows	microsoft windows
18378826	playstation	powerpc,playstation,apple pippin,mac os x,microsoft windows,linux
18380155	playstation 2	playstation 2
18384743	playstation 3	playstation 3,xbox 360,microsoft windows
18386791	playstation 3	microsoft windows,playstation 3,xbox 360
18389690	ms-dos	dos,macintosh
18407425	microsoft windows	microsoft windows
18408327	sega dreamcast	game boy color,playstation,dreamcast,playstation 2,microsoft windows
18409284	nintendo wii	wii,wiiware
18409681	microsoft windows	microsoft windows,os x
18418375	playstation 3	playstation 3
18418546	playstation 3	playstation 3
18420676	zx spectrum	atari st,amiga,amstrad cpc,commodore 64,dos,msx,zx spectrum
18422692	arcade game	arcade game
18422966	playstation	playstation (console)
18433240	microsoft windows	microsoft windows
18434260	playstation 4	pc,playstation,playstation 2,playstation 3,playstation 4
18437962	xbox 360	xbox 360
18438148	xbox 360	xbox 360
18440503	xbox live arcade	xbox live arcade
18447783	nintendo ds	nintendo ds,playstation portable,ios (apple),android (operating system),fire os
18447843	nintendo wii	wii
18448023	nintendo ds	nintendo ds,wii
18449814	microsoft windows	microsoft windows
18450311	playstation 3	playstation 3
18454852	nintendo wii	wii,wiiware,playstation 3,playstation network
18454982	sony psp	playstation portable
18454984	ti-99	ti-99/4a
18455886	xbox 360	xbox 360
18457155	playstation 3	microsoft windows,playstation 3,xbox 360
18459313	playstation 3	microsoft windows,playstation 3,xbox 360
18461881	microsoft windows	microsoft windows
18461993	nintendo ds	wii,nintendo ds,playstation 2
18462375	playstation 3	microsoft windows,playstation 3,xbox 360
18463246	nintendo ds	microsoft windows,nintendo ds,playstation 2,playstation 3,playstation portable,wii,xbox 360,mac os x
18468293	nintendo ds	nintendo ds
18469105	nintendo ds	nintendo ds
18469964	wii u	microsoft windows,playstation 3,xbox 360,wii u
18471963	microsoft windows	microsoft windows
18475652	microsoft windows	microsoft windows
18479539	nintendo gamecube	playstation (console),microsoft windows,game boy advance,gamecube,playstation 2,xbox (console),mobile game
18480639	apple ii	amiga,apple ii,atari st,commodore 64,dos
18495552	playstation 3	playstation 3,playstation portable
18496064	ms-dos	dos
18496922	nintendo ds	nintendo ds
18501550	xbox one	xbox 360,xbox one,halo: the master chief collection
18514671	xbox one	microsoft windows,os x,ios,android (operating system),xbox one
18517490	nintendo ds	wii,playstation 2,nintendo ds
18518104	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,dos,turbografx-16,sinclair zx spectrum
18520544	pc game	personal computer
18521113	xbox 360	xbox 360,xbox live primetime
18521166	nintendo ds	nintendo ds
18528033	arcade game	arcade game,ios (apple)
18528242	nintendo wii	wii
18529098	nintendo wii	wii
18531219	playstation 3	playstation 3
18531349	famicom disk system	famicom disk system
18535777	nintendo wii	nintendo entertainment system,virtual console
18536313	nintendo wii	nintendo entertainment system,virtual console
18542848	playstation 2	microsoft windows,playstation 2,playstation portable
18545255	microsoft windows	microsoft windows
18553836	sega master system	sega master system
18553968	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,dos,msx,sega master system,turbografx-16,sharp x68000,zx spectrum,nintendo 3ds
18558599	ios game	ios (apple)
18561259	playstation 3	personal computer,playstation 3,playstation vita
18564088	playstation	playstation (console)
18574831	xbox 360	microsoft windows,xbox 360,ios
18576441	nintendo wii	wii,playstation 2
18578208	nintendo ds	nintendo ds
18585508	microsoft windows	microsoft windows
18591446	nintendo ds	nintendo ds,playstation 2,microsoft windows,wii
18597091	nintendo wii	arcade game,neo geo (console),neo geo cd,virtual console,playstation 2
18597967	nintendo famicom	family computer disk system,nintendo entertainment system,game boy advance
18598659	nintendo wii	playstation 2,playstation portable,wii
18603804	commodore amiga	amigaos 4,morphos,aros,linux,windows,cross-platform
18604234	sega dreamcast	dreamcast
18609831	pc game	java (software platform)
18610345	mac os x	microsoft windows,macintosh
18613556	playstation	microsoft windows,mac os,playstation (console)
18618556	arcade game	arcade game,super nintendo entertainment system
18620299	nintendo wii	wii
18621544	nintendo ds	nintendo ds
18622076	linux game	microsoft windows,os x,linux
18640390	zx spectrum	zx spectrum,commodore 64,amstrad cpc,commodore plus/4
18643803	atari 2600	atari 2600,microsoft windows,xbox (console),playstation 2
18652968	nintendo ds	wiiware,list of dsiware games and applications,nintendo ds,wii
18654909	nintendo wii	wii,microsoft windows
18655200	linux game	microsoft windows,linux,mac os x
18661661	nintendo wii	wii,wiiware,iphone os
18664310	apple ii	ibm pc compatible,apple ii,atari 8-bit family,vic-20,commodore 64
18668889	nintendo game boy	pc-8000 series,arcade game,apple ii series,game boy,super nintendo entertainment system,microsoft windows,mobile game
18674337	playstation 2	playstation 2
18680488	linux game	linux,mac os x,microsoft windows
18684775		
18685741	sega mega drive/genesis	nintendo entertainment system,game boy,sega genesis
18685754	sega mega drive/genesis	sega genesis
18696364	nintendo ds	microsoft windows,nintendo ds,playstation 2,playstation 3,playstation portable,wii,xbox 360
18696458	nintendo wii	arcade game,neo geo (console),neo-geo cd,wii
18701490	nintendo wii	mobile phone,ipod,n-gage (service),microsoft windows,wii,wiiware
18706642	zx spectrum	amstrad cpc,commodore 64,sinclair zx spectrum
18711188	playstation 4	linux,microsoft windows,os x,playstation 3,playstation 4,playstation vita,xbox 360
18717095	playstation 3	microsoft windows,playstation 3,xbox 360
18717529	microsoft windows	microsoft windows,os x
18717748	cross-platform	cross-platform
18718537	sega mega drive/genesis	sega mega-cd,sega genesis
18718651	nintendo ds	wii,playstation 2,playstation portable,nintendo ds
18720057	sega sg-1000	game boy color,msx,nintendo entertainment system,nec pc-6001,nec pc-8801,nec pc-9801,sg-1000
18720531	sega mega cd	mega-cd
18722763	playstation	playstation (console),microsoft windows,game boy color
18733617	xbox 360	microsoft windows,mac os x,linux,xbox 360
18736289	playstation 3	playstation 3,xbox 360,microsoft windows
18736399	microsoft windows	microsoft windows
18746747	nintendo wii	personal computer,wii,playstation 2
